category	catid	basearea	county	distance	dayspassed	categoryscore	output
droughts	1	"51.360609, 0.159776"	Cheshire	82	693	0.01	no
droughts	1	"51.430134, -0.006175"	City of London	58	61	0.04	no
volcanoes	6	"54.894791,-2.931089"	Buckinghamshire	12	350	0.02	no
earthquakes	3	"53.621936, -0.561011"	Buckinghamshire	76	49	0.07	yes
floods	4	"52.501051, -1.707499"	County Durham	69	694	0.01	no
severestorms	9	"51.182197, -2.104447"	County Durham	37	662	0.01	no
dusthaze	8	"52.252009,0.397695"	0	48	143	0.04	no
floods	4	"52.501834, -1.708503"	Gloucestershire	28	518	0.02	no
severestorms	9	"51.230545, -2.190775"	Derbyshire	31	132	0.04	no
tempextremes	5	"52.192267,0.137208"	North Yorkshire	19	432	0.02	no
dusthaze	8	"52.352438,0.420868"	West Midlands	75	508	0.02	no
wildfire	2	"53.743652, -2.478013"	Lincolnshire	10	79	0.04	no
dusthaze	8	"52.24757,0.401394"	Shropshire	97	360	0.02	no
wildfire	2	"53.792217, -1.7505"	Greater Manchester	17	367	0.02	no
volcanoes	6	"54.893532,-2.930093"	Shropshire	42	362	0.02	no
volcanoes	6	"54.893532,-2.930093"	Essex	62	25	0.07	yes
severestorms	9	"52.388014, -1.958608"	North Yorkshire	20	4	0.07	yes
floods	4	"51.441506,-2.354437"	West Midlands	55	685	0.01	no
severestorms	9	"51.231182, -2.186065"	Oxfordshire	59	476	0.02	no
wildfire	2	"53.74219, -2.474858"	North Yorkshire	70	351	0.02	no
dusthaze	8	"52.24757,0.401394"	Buckinghamshire	96	484	0.02	no
earthquakes	3	"50.756389, -4.388045"	Nottinghamshire	100	555	0.02	no
earthquakes	3	"53.625017, -0.559379"	Derbyshire	31	412	0.02	no
dusthaze	8	"52.25256,0.397124"	Cambridgeshire	33	220	0.03	no
dusthaze	8	"52.501578, -1.703127"	Cambridgeshire	43	329	0.02	no
earthquakes	3	"53.625017, -0.559379"	Greater Manchester	70	429	0.02	no
volcanoes	6	"54.893917,-2.931381"	Surrey	10	340	0.02	no
tempextremes	5	"52.192267,0.137208"	Buckinghamshire	40	173	0.03	no
